===== JOURNAL DES EVENEMENTS =====
Debut capture : 2026-03-26 01:38:19.652866
Interface     : ens34
Filtre        : net 192.168.26.0/24

[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 10621
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 2160
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1322
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1999
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 646
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 50500
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1148
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 79
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 3325
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8009
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1503
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8649
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 49156
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 999
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 3323
